anio,semestre,tipo,volumen,periodo,variacion_abs,variacion_pct
2018,1,ADMITIDOS,2872,2018-1,,
2018,1,GRADUADOS,1049,2018-1,,
2018,2,ADMITIDOS,2379,2018-2,-493.0,-17.165738161559887
2018,2,GRADUADOS,2726,2018-2,1677.0,159.86653956148712
2019,1,ADMITIDOS,3126,2019-1,747.0,31.399747793190414
2019,1,GRADUADOS,733,2019-1,-1993.0,-73.1107850330154
2019,2,ADMITIDOS,2679,2019-2,-447.0,-14.299424184261033
2019,2,GRADUADOS,2249,2019-2,1516.0,206.82128240109142
2020,1,ADMITIDOS,3347,2020-1,668.0,24.93467711832773
2020,1,GRADUADOS,754,2020-1,-1495.0,-66.47398843930637
2020,2,ADMITIDOS,3244,2020-2,-103.0,-3.0773827308037016
2020,2,GRADUADOS,2028,2020-2,1274.0,168.9655172413793
2021,1,ADMITIDOS,4463,2021-1,1219.0,37.57706535141801
2021,1,GRADUADOS,68,2021-1,-1960.0,-96.64694280078896
2021,2,ADMITIDOS,3416,2021-2,-1047.0,-23.459556352229438
2021,2,GRADUADOS,152,2021-2,84.0,123.52941176470588
2022,1,GRADUADOS,1223,2022-1,1071.0,704.6052631578947
2022,2,GRADUADOS,2443,2022-2,1220.0,99.75470155355683
2023,1,GRADUADOS,1312,2023-1,-1131.0,-46.29553827261563
2023,2,GRADUADOS,2645,2023-2,1333.0,101.60060975609757
2024,1,GRADUADOS,487,2024-1,-2158.0,-81.58790170132325
2024,2,GRADUADOS,4366,2024-2,3879.0,796.5092402464065
